,0,1,2,3,4
187,8027,44,POPLATEK TYDNE,930707,1
188,1566,73,POPLATEK MESICN,930707,1
189,2584,50,POPLATEK MESICN,930708,1
190,907,41,POPLATEK MESICN,930709,1
191,1411,54,POPLATEK MESICN,930709,1
192,3748,1,POPLATEK MESICN,930710,1
193,273,24,POPLATEK PO OBR,930711,1
194,10320,68,POPLATEK MESICN,930711,1
195,1416,66,POPLATEK TYDNE,930712,1
196,3277,36,POPLATEK MESICN,930712,1
197,1892,28,POPLATEK MESICN,930713,1
198,3413,70,POPLATEK MESICN,930713,1
199,9703,68,POPLATEK MESICN,930715,1
200,234,73,POPLATEK MESICN,930715,1
201,400,28,POPLATEK MESICN,930717,1
202,1902,50,POPLATEK TYDNE,930717,1
203,1116,1,POPLATEK MESICN,930720,1
204,4478,70,POPLATEK MESICN,930723,1
205,9833,20,POPLATEK MESICN,930724,1
206,3982,26,POPLATEK MESICN,930727,1
