account_id,district_id,frequency,date,bank_id
280,25,POPLATEK MESICNE,930123,1
2425,41,POPLATEK MESICNE,930123,1
9307,68,POPLATEK MESICNE,930124,1
4055,23,POPLATEK MESICNE,930124,1
5065,66,POPLATEK MESICNE,930124,1
3704,75,POPLATEK MESICNE,930124,1
477,1,POPLATEK MESICNE,930125,1
5891,54,POPLATEK MESICNE,930125,3
1000,77,POPLATEK MESICNE,930125,2
1750,1,POPLATEK MESICNE,930126,2
2023,68,POPLATEK MESICNE,930126,2
6473,12,POPLATEK MESICNE,930126,2
1649,46,POPLATEK MESICNE,930126,1
2670,13,POPLATEK MESICNE,930127,3
1127,27,POPLATEK MESICNE,930127,1
163,30,POPLATEK MESICNE,930127,3
2566,48,POPLATEK MESICNE,930127,1
9,70,POPLATEK MESICNE,930127,3
1144,59,POPLATEK MESICNE,930128,3
2902,32,POPLATEK MESICNE,930128,1
4296,63,POPLATEK MESICNE,930128,3
443,64,POPLATEK MESICNE,930128,1
3693,61,POPLATEK MESICNE,930129,1
2070,72,POPLATEK MESICNE,930129,2
1843,12,POPLATEK MESICNE,930130,1
2714,1,POPLATEK MESICNE,930130,2
4078,40,POPLATEK MESICNE,930130,1
1675,36,POPLATEK MESICNE,930201,2
5868,44,POPLATEK MESICNE,930202,1
1805,1,POPLATEK MESICNE,930202,3
2434,17,POPLATEK MESICNE,930202,2
3007,16,POPLATEK MESICNE,930202,3
2574,68,POPLATEK MESICNE,930202,3
862,64,POPLATEK TYDNE,930202,3
1132,1,POPLATEK TYDNE,930203,3
4484,54,POPLATEK MESICNE,930203,1
943,1,POPLATEK MESICNE,930203,2
3514,7,POPLATEK MESICNE,930203,3
3983,67,POPLATEK MESICNE,930204,3
9265,1,POPLATEK MESICNE,930204,2
465,32,POPLATEK MESICNE,930204,2
982,54,POPLATEK MESICNE,930205,1
411,70,POPLATEK MESICNE,930205,3
890,14,POPLATEK MESICNE,930205,1
627,63,POPLATEK MESICNE,930205,1
2429,61,POPLATEK MESICNE,930206,1
3960,64,POPLATEK MESICNE,930206,3
2256,48,POPLATEK MESICNE,930206,3
8051,1,POPLATEK TYDNE,930207,2
2647,73,POPLATEK MESICNE,930208,1
2241,6,POPLATEK MESICNE,930208,1
5622,70,POPLATEK MESICNE,930208,1
2884,1,POPLATEK MESICNE,930208,1
1830,10,POPLATEK MESICNE,930208,2
7753,74,POPLATEK MESICNE,930208,3
244,24,POPLATEK MESICNE,930208,3
1477,1,POPLATEK MESICNE,930208,2
4240,50,POPLATEK MESICNE,930208,3
1006,6,POPLATEK MESICNE,930208,1
830,74,POPLATEK MESICNE,930208,3
9188,45,POPLATEK MESICNE,930208,3
1965,57,POPLATEK PO OBRATU,930208,2
1134,6,POPLATEK MESICNE,930209,2
1601,10,POPLATEK MESICNE,930209,3
2861,38,POPLATEK MESICNE,930210,3
813,16,POPLATEK MESICNE,930210,3
2585,75,POPLATEK MESICNE,930210,1
2220,16,POPLATEK MESICNE,930210,1
2763,64,POPLATEK MESICNE,930211,1
2342,51,POPLATEK MESICNE,930211,2
1944,72,POPLATEK MESICNE,930212,3
1966,27,POPLATEK MESICNE,930212,1
1801,46,POPLATEK MESICNE,930213,3
2543,68,POPLATEK MESICNE,930213,1
2293,31,POPLATEK MESICNE,930213,3
11013,1,POPLATEK TYDNE,930214,1
2423,30,POPLATEK MESICNE,930214,1
142,51,POPLATEK MESICNE,930215,1
3424,74,POPLATEK MESICNE,930216,2
539,13,POPLATEK PO OBRATU,930216,2
979,21,POPLATEK MESICNE,930216,3
3554,66,POPLATEK MESICNE,930216,2
3545,51,POPLATEK MESICNE,930217,2
3047,16,POPLATEK MESICNE,930217,1
3374,21,POPLATEK MESICNE,930217,1
96,68,POPLATEK MESICNE,930218,1
461,30,POPLATEK MESICNE,930218,2
3593,1,POPLATEK MESICNE,930218,3
3026,24,POPLATEK MESICNE,930218,2
1054,10,POPLATEK MESICNE,930219,3
2433,71,POPLATEK MESICNE,930219,1
3691,50,POPLATEK MESICNE,930219,1
3787,70,POPLATEK MESICNE,930219,1
128,2,POPLATEK MESICNE,930219,2
3168,39,POPLATEK MESICNE,930220,3
4937,12,POPLATEK MESICNE,930220,2
2124,69,POPLATEK MESICNE,930220,3
322,1,POPLATEK MESICNE,930220,3
4355,31,POPLATEK MESICNE,930221,3
1678,1,POPLATEK MESICNE,930222,3
2396,2,POPLATEK MESICNE,930222,3
1005,54,POPLATEK TYDNE,930223,3
697,28,POPLATEK MESICNE,930223,3
925,59,POPLATEK MESICNE,930223,1
2110,64,POPLATEK MESICNE,930223,1
1366,60,POPLATEK MESICNE,930224,3
1050,57,POPLATEK PO OBRATU,930224,1
3117,33,POPLATEK MESICNE,930224,2
562,50,POPLATEK MESICNE,930225,2
5369,54,POPLATEK MESICNE,930225,3
2242,7,POPLATEK TYDNE,930225,2
197,1,POPLATEK MESICNE,930225,3
496,69,POPLATEK MESICNE,930226,1
2,1,POPLATEK MESICNE,930226,3
7401,1,POPLATEK MESICNE,930226,2
2486,1,POPLATEK MESICNE,930227,3
428,1,POPLATEK MESICNE,930227,2
3651,23,POPLATEK MESICNE,930227,1
1775,17,POPLATEK MESICNE,930227,2
1688,70,POPLATEK MESICNE,930227,2
361,51,POPLATEK MESICNE,930227,1
1829,43,POPLATEK MESICNE,930227,3
1575,1,POPLATEK MESICNE,930227,3
9203,70,POPLATEK MESICNE,930227,1
3008,72,POPLATEK MESICNE,930227,2
239,69,POPLATEK TYDNE,930301,2
3302,21,POPLATEK MESICNE,930302,3
415,25,POPLATEK MESICNE,930303,1
3513,20,POPLATEK MESICNE,930303,1
4134,7,POPLATEK MESICNE,930303,1
1077,14,POPLATEK MESICNE,930303,1
1713,43,POPLATEK MESICNE,930303,1
1378,59,POPLATEK MESICNE,930304,1
2503,1,POPLATEK MESICNE,930305,1
559,46,POPLATEK MESICNE,930305,2
6555,38,POPLATEK TYDNE,930305,1
744,42,POPLATEK MESICNE,930306,2
882,9,POPLATEK MESICNE,930306,1
86,54,POPLATEK MESICNE,930307,2
1126,56,POPLATEK MESICNE,930308,3
2666,49,POPLATEK MESICNE,930308,2
944,70,POPLATEK MESICNE,930308,1
1545,1,POPLATEK MESICNE,930308,2
2453,1,POPLATEK MESICNE,930308,1
3734,43,POPLATEK MESICNE,930308,3
3935,23,POPLATEK MESICNE,930308,2
396,21,POPLATEK MESICNE,930308,3
2694,7,POPLATEK MESICNE,930308,3
4596,74,POPLATEK MESICNE,930309,2
2489,72,POPLATEK MESICNE,930309,3
2895,19,POPLATEK MESICNE,930309,3
317,76,POPLATEK MESICNE,930310,2
2555,53,POPLATEK MESICNE,930310,2
494,60,POPLATEK MESICNE,930311,3
2219,60,POPLATEK MESICNE,930311,1
2581,72,POPLATEK MESICNE,930311,2
112,6,POPLATEK MESICNE,930312,3
3674,38,POPLATEK MESICNE,930312,2
2039,44,POPLATEK MESICNE,930312,3
2712,9,POPLATEK MESICNE,930312,3
395,1,POPLATEK MESICNE,930312,2
2974,9,POPLATEK MESICNE,930313,3
123,21,POPLATEK MESICNE,930313,2
9640,1,POPLATEK MESICNE,930313,2
3108,53,POPLATEK MESICNE,930314,3
2508,34,POPLATEK MESICNE,930314,2
2458,40,POPLATEK TYDNE,930314,1
588,66,POPLATEK MESICNE,930314,1
7231,10,POPLATEK MESICNE,930314,3
6701,49,POPLATEK TYDNE,930315,1
3883,72,POPLATEK MESICNE,930315,3
222,37,POPLATEK MESICNE,930315,3
2497,65,POPLATEK MESICNE,930316,3
1372,1,POPLATEK MESICNE,930316,2
3835,50,POPLATEK MESICNE,930316,3
7445,64,POPLATEK MESICNE,930318,3
2527,38,POPLATEK MESICNE,930319,3
425,9,POPLATEK MESICNE,930319,3
860,1,POPLATEK MESICNE,930319,1
6034,6,POPLATEK TYDNE,930319,1
11065,11,POPLATEK MESICNE,930319,3
9883,1,POPLATEK MESICNE,930319,2
115,68,POPLATEK MESICNE,930319,1
1189,59,POPLATEK MESICNE,930319,1
3675,64,POPLATEK MESICNE,930320,3
3069,66,POPLATEK MESICNE,930320,1
2762,19,POPLATEK MESICNE,930320,2
892,70,POPLATEK MESICNE,930320,3
1535,46,POPLATEK MESICNE,930320,2
2618,60,POPLATEK MESICNE,930321,3
2651,2,POPLATEK MESICNE,930321,1
5442,34,POPLATEK MESICNE,930322,2
1787,30,POPLATEK TYDNE,930322,3
1397,17,POPLATEK MESICNE,930322,2
3785,10,POPLATEK MESICNE,930324,3
623,1,POPLATEK MESICNE,930324,2
8260,31,POPLATEK MESICNE,930324,3
3678,1,POPLATEK MESICNE,930324,1
3001,1,POPLATEK MESICNE,930324,3
655,53,POPLATEK MESICNE,930324,2
4093,1,POPLATEK MESICNE,930325,3
3260,68,POPLATEK MESICNE,930325,3
2528,65,POPLATEK MESICNE,930325,2
2011,75,POPLATEK MESICNE,930325,3
1721,68,POPLATEK MESICNE,930325,1
1332,59,POPLATEK MESICNE,930325,2
1402,74,POPLATEK MESICNE,930326,2
3283,68,POPLATEK MESICNE,930326,1
3781,31,POPLATEK MESICNE,930326,2
7203,71,POPLATEK MESICNE,930326,3
1065,72,POPLATEK MESICNE,930327,2
3076,54,POPLATEK MESICNE,930327,2
4347,1,POPLATEK MESICNE,930327,1
1157,7,POPLATEK MESICNE,930327,3
9403,1,POPLATEK TYDNE,930327,3
1874,9,POPLATEK MESICNE,930327,3
1115,34,POPLATEK MESICNE,930327,3
3586,59,POPLATEK MESICNE,930327,1
62,47,POPLATEK MESICNE,930328,3
1771,69,POPLATEK MESICNE,930328,1
5483,13,POPLATEK MESICNE,930328,3
8330,48,POPLATEK MESICNE,930328,3
187,5,POPLATEK MESICNE,930328,3
423,12,POPLATEK MESICNE,930328,1
6425,31,POPLATEK MESICNE,930329,1
2493,62,POPLATEK MESICNE,930329,2
2896,29,POPLATEK MESICNE,930330,2
2245,29,POPLATEK MESICNE,930330,2
3923,52,POPLATEK MESICNE,930330,1
1898,70,POPLATEK MESICNE,930401,2
3367,1,POPLATEK MESICNE,930401,1
3391,74,POPLATEK MESICNE,930401,2
8519,23,POPLATEK MESICNE,930402,3
1780,1,POPLATEK MESICNE,930402,3
3915,65,POPLATEK MESICNE,930402,3
3980,75,POPLATEK MESICNE,930403,1
4350,63,POPLATEK MESICNE,930404,3
686,41,POPLATEK MESICNE,930404,3
362,15,POPLATEK MESICNE,930404,2
299,77,POPLATEK MESICNE,930405,1
2488,5,POPLATEK MESICNE,930406,2
2985,71,POPLATEK MESICNE,930406,1
385,5,POPLATEK MESICNE,930407,1
2817,56,POPLATEK MESICNE,930407,1
2056,58,POPLATEK MESICNE,930407,2
2002,1,POPLATEK MESICNE,930408,1
748,10,POPLATEK MESICNE,930408,1
220,72,POPLATEK MESICNE,930409,2
1422,68,POPLATEK MESICNE,930409,3
1147,44,POPLATEK MESICNE,930410,3
3788,70,POPLATEK MESICNE,930410,1
1891,32,POPLATEK MESICNE,930410,2
1239,1,POPLATEK MESICNE,930410,1
8321,77,POPLATEK MESICNE,930412,1
3213,51,POPLATEK MESICNE,930412,3
2838,3,POPLATEK TYDNE,930413,1
3644,38,POPLATEK MESICNE,930413,1
4318,33,POPLATEK TYDNE,930413,3
2648,51,POPLATEK MESICNE,930413,3
2313,26,POPLATEK TYDNE,930413,1
5428,24,POPLATEK MESICNE,930414,1
7123,64,POPLATEK PO OBRATU,930414,1
279,39,POPLATEK MESICNE,930414,3
104,37,POPLATEK MESICNE,930415,3
497,55,POPLATEK MESICNE,930415,1
1152,45,POPLATEK MESICNE,930415,2
83,26,POPLATEK MESICNE,930416,1
2008,52,POPLATEK MESICNE,930416,1
3327,45,POPLATEK MESICNE,930416,2
5740,43,POPLATEK MESICNE,930416,1
8132,5,POPLATEK TYDNE,930417,1
10738,45,POPLATEK TYDNE,930417,3
2216,74,POPLATEK MESICNE,930417,3
1815,66,POPLATEK MESICNE,930417,1
2823,57,POPLATEK MESICNE,930418,3
4321,47,POPLATEK MESICNE,930418,3
1773,33,POPLATEK MESICNE,930419,3
7454,4,POPLATEK MESICNE,930419,2
188,54,POPLATEK MESICNE,930420,2
10973,18,POPLATEK TYDNE,930420,2
2599,48,POPLATEK MESICNE,930420,3
1166,11,POPLATEK MESICNE,930421,1
504,73,POPLATEK MESICNE,930421,1
1518,67,POPLATEK MESICNE,930421,1
2189,75,POPLATEK MESICNE,930422,3
6040,1,POPLATEK MESICNE,930422,2
2876,52,POPLATEK MESICNE,930422,1
1505,69,POPLATEK MESICNE,930423,2
6897,48,POPLATEK MESICNE,930423,3
4377,28,POPLATEK MESICNE,930424,3
717,75,POPLATEK MESICNE,930424,3
9707,70,POPLATEK MESICNE,930424,1
2814,72,POPLATEK MESICNE,930425,3
3068,59,POPLATEK MESICNE,930425,3
1476,61,POPLATEK MESICNE,930426,2
897,38,POPLATEK MESICNE,930426,1
977,1,POPLATEK MESICNE,930426,3
2639,17,POPLATEK MESICNE,930426,3
1032,11,POPLATEK MESICNE,930426,3
928,20,POPLATEK MESICNE,930426,1
168,31,POPLATEK MESICNE,930427,3
2175,1,POPLATEK MESICNE,930427,3
10105,55,POPLATEK MESICNE,930428,1
1392,60,POPLATEK MESICNE,930428,2
3697,45,POPLATEK MESICNE,930429,2
5313,40,POPLATEK MESICNE,930429,2
2222,47,POPLATEK MESICNE,930501,3
2641,7,POPLATEK MESICNE,930502,2
5423,15,POPLATEK MESICNE,930502,3
2609,73,POPLATEK MESICNE,930503,2
5472,1,POPLATEK MESICNE,930504,1
2932,72,POPLATEK MESICNE,930504,1
4254,70,POPLATEK MESICNE,930504,3
3965,31,POPLATEK MESICNE,930504,2
10656,8,POPLATEK MESICNE,930505,1
887,1,POPLATEK MESICNE,930505,2
4743,64,POPLATEK MESICNE,930505,1
1048,35,POPLATEK MESICNE,930505,1
1671,6,POPLATEK MESICNE,930505,1
1236,19,POPLATEK MESICNE,930505,2
1822,30,POPLATEK MESICNE,930505,2
3316,28,POPLATEK MESICNE,930506,2
2037,20,POPLATEK MESICNE,930506,1
10079,62,POPLATEK MESICNE,930506,3
3999,35,POPLATEK MESICNE,930506,2
551,77,POPLATEK MESICNE,930507,2
1200,33,POPLATEK MESICNE,930507,3
1161,66,POPLATEK MESICNE,930508,3
5372,48,POPLATEK MESICNE,930508,3
3050,60,POPLATEK MESICNE,930508,1
1784,59,POPLATEK MESICNE,930508,1
1603,1,POPLATEK MESICNE,930509,2
1887,68,POPLATEK MESICNE,930509,3
1644,1,POPLATEK MESICNE,930509,1
1658,73,POPLATEK MESICNE,930510,1
44,32,POPLATEK MESICNE,930510,3
1039,70,POPLATEK TYDNE,930510,3
1071,68,POPLATEK TYDNE,930510,3
2410,54,POPLATEK MESICNE,930511,1
2523,10,POPLATEK MESICNE,930511,3
790,54,POPLATEK MESICNE,930511,2
2583,62,POPLATEK MESICNE,930511,2
1782,8,POPLATEK MESICNE,930512,3
751,3,POPLATEK MESICNE,930512,2
2061,24,POPLATEK MESICNE,930512,1
8261,13,POPLATEK MESICNE,930512,3
2321,35,POPLATEK MESICNE,930513,2
1334,74,POPLATEK MESICNE,930514,3
3649,54,POPLATEK MESICNE,930514,2
555,24,POPLATEK MESICNE,930515,3
3173,39,POPLATEK MESICNE,930515,2
863,71,POPLATEK MESICNE,930516,2
3181,42,POPLATEK MESICNE,930516,1
3210,1,POPLATEK MESICNE,930517,1
489,16,POPLATEK MESICNE,930517,2
947,59,POPLATEK MESICNE,930517,1
3284,64,POPLATEK MESICNE,930517,2
1610,52,POPLATEK MESICNE,930517,1
4225,55,POPLATEK MESICNE,930518,3
1412,64,POPLATEK MESICNE,930518,3
1937,36,POPLATEK MESICNE,930518,3
991,39,POPLATEK MESICNE,930518,3
1180,20,POPLATEK MESICNE,930519,1
2758,70,POPLATEK MESICNE,930519,2
2711,58,POPLATEK MESICNE,930519,1
1652,74,POPLATEK MESICNE,930520,2
3099,70,POPLATEK MESICNE,930520,3
11111,1,POPLATEK MESICNE,930520,2
9591,74,POPLATEK MESICNE,930520,3
9828,11,POPLATEK MESICNE,930520,3
5385,44,POPLATEK TYDNE,930521,3
23,30,POPLATEK MESICNE,930522,2
2645,54,POPLATEK MESICNE,930522,3
2991,19,POPLATEK MESICNE,930522,2
3469,76,POPLATEK MESICNE,930522,3
1851,55,POPLATEK MESICNE,930523,2
3844,67,POPLATEK MESICNE,930523,1
1442,23,POPLATEK MESICNE,930523,1
3064,40,POPLATEK MESICNE,930523,3
3558,4,POPLATEK MESICNE,930523,2
1534,1,POPLATEK MESICNE,930524,2
334,1,POPLATEK MESICNE,930524,1
1786,1,POPLATEK MESICNE,930525,2
1272,40,POPLATEK TYDNE,930525,1
2436,67,POPLATEK MESICNE,930525,1
3796,53,POPLATEK MESICNE,930525,3
119,27,POPLATEK MESICNE,930525,2
3063,72,POPLATEK MESICNE,930526,1
18,43,POPLATEK TYDNE,930526,3
11320,44,POPLATEK MESICNE,930526,2
3888,39,POPLATEK MESICNE,930527,1
1584,30,POPLATEK MESICNE,930527,3
5546,43,POPLATEK MESICNE,930528,3
2029,55,POPLATEK MESICNE,930529,2
10911,1,POPLATEK TYDNE,930529,2
2467,33,POPLATEK MESICNE,930529,2
2962,1,POPLATEK MESICNE,930530,1
165,25,POPLATEK MESICNE,930601,1
1617,45,POPLATEK MESICNE,930601,3
327,54,POPLATEK MESICNE,930602,1
2068,21,POPLATEK MESICNE,930602,1
4448,60,POPLATEK MESICNE,930602,3
640,32,POPLATEK MESICNE,930602,2
510,1,POPLATEK TYDNE,930602,3
2534,61,POPLATEK MESICNE,930603,3
1018,7,POPLATEK MESICNE,930603,3
1285,65,POPLATEK MESICNE,930604,1
3670,27,POPLATEK MESICNE,930604,3
1743,51,POPLATEK MESICNE,930604,1
3072,8,POPLATEK MESICNE,930605,1
2146,31,POPLATEK MESICNE,930605,1
4576,27,POPLATEK MESICNE,930605,3
3258,53,POPLATEK MESICNE,930605,2
2176,67,POPLATEK MESICNE,930606,1
8934,51,POPLATEK MESICNE,930606,1
1999,70,POPLATEK MESICNE,930606,3
2741,15,POPLATEK MESICNE,930607,2
4427,32,POPLATEK MESICNE,930607,2
3682,70,POPLATEK MESICNE,930607,3
2862,33,POPLATEK MESICNE,930607,2
3032,5,POPLATEK MESICNE,930607,2
701,69,POPLATEK MESICNE,930608,1
6281,56,POPLATEK MESICNE,930608,2
306,16,POPLATEK MESICNE,930608,3
1207,67,POPLATEK MESICNE,930608,3
1247,25,POPLATEK MESICNE,930608,2
5343,64,POPLATEK MESICNE,930608,3
5129,68,POPLATEK MESICNE,930608,2
3713,14,POPLATEK TYDNE,930608,2
2327,19,POPLATEK MESICNE,930608,2
774,1,POPLATEK MESICNE,930608,1
1990,1,POPLATEK MESICNE,930609,3
2388,30,POPLATEK MESICNE,930609,2
3566,21,POPLATEK MESICNE,930609,1
10266,54,POPLATEK MESICNE,930610,1
3771,22,POPLATEK MESICNE,930611,2
1978,57,POPLATEK TYDNE,930611,3
2022,72,POPLATEK MESICNE,930611,3
3542,49,POPLATEK MESICNE,930611,2
1515,11,POPLATEK MESICNE,930611,2
4171,28,POPLATEK MESICNE,930612,3
433,20,POPLATEK MESICNE,930612,1
1373,47,POPLATEK MESICNE,930612,1
3246,54,POPLATEK MESICNE,930614,2
1475,1,POPLATEK TYDNE,930614,3
3133,66,POPLATEK MESICNE,930614,2
2779,73,POPLATEK MESICNE,930615,1
135,75,POPLATEK MESICNE,930615,3
446,50,POPLATEK MESICNE,930615,2
9093,47,POPLATEK MESICNE,930616,1
432,46,POPLATEK MESICNE,930616,3
2880,71,POPLATEK MESICNE,930616,1
5767,72,POPLATEK MESICNE,930616,3
1998,1,POPLATEK MESICNE,930617,1
2554,36,POPLATEK MESICNE,930618,3
2933,10,POPLATEK MESICNE,930618,2
773,15,POPLATEK MESICNE,930619,2
4894,14,POPLATEK MESICNE,930620,3
3969,39,POPLATEK MESICNE,930620,1
1277,31,POPLATEK MESICNE,930620,1
5120,1,POPLATEK MESICNE,930621,2
738,34,POPLATEK MESICNE,930621,1
1299,1,POPLATEK MESICNE,930621,1
148,8,POPLATEK MESICNE,930621,1
899,72,POPLATEK MESICNE,930621,2
3521,75,POPLATEK MESICNE,930622,2
3786,21,POPLATEK MESICNE,930622,2
886,1,POPLATEK MESICNE,930623,1
5228,77,POPLATEK PO OBRATU,930623,3
702,12,POPLATEK MESICNE,930623,1
300,1,POPLATEK MESICNE,930623,3
1451,64,POPLATEK MESICNE,930624,3
2940,54,POPLATEK MESICNE,930624,1
1837,23,POPLATEK MESICNE,930624,2
3954,22,POPLATEK MESICNE,930625,2
885,1,POPLATEK MESICNE,930625,1
2697,8,POPLATEK MESICNE,930626,1
8129,45,POPLATEK MESICNE,930626,1
1930,3,POPLATEK MESICNE,930627,3
2411,69,POPLATEK MESICNE,930627,3
3775,19,POPLATEK MESICNE,930627,2
9034,1,POPLATEK MESICNE,930628,1
902,74,POPLATEK MESICNE,930629,2
630,71,POPLATEK MESICNE,930629,2
3096,68,POPLATEK MESICNE,930629,2
2552,52,POPLATEK MESICNE,930701,1
3435,59,POPLATEK MESICNE,930701,2
5215,55,POPLATEK MESICNE,930701,3
36,1,POPLATEK MESICNE,930701,3
2687,76,POPLATEK MESICNE,930701,2
1861,54,POPLATEK MESICNE,930702,3
2464,33,POPLATEK PO OBRATU,930702,1
2736,72,POPLATEK MESICNE,930702,2
1145,31,POPLATEK MESICNE,930703,2
2298,31,POPLATEK MESICNE,930703,3
929,54,POPLATEK MESICNE,930703,2
381,68,POPLATEK MESICNE,930704,1
3778,52,POPLATEK MESICNE,930704,3
1118,48,POPLATEK MESICNE,930704,3
4352,2,POPLATEK MESICNE,930705,3
1322,17,POPLATEK MESICNE,930705,3
1852,35,POPLATEK MESICNE,930705,1
8173,11,POPLATEK MESICNE,930705,3
2705,63,POPLATEK PO OBRATU,930705,1
9472,1,POPLATEK TYDNE,930706,2
368,77,POPLATEK MESICNE,930706,3
1425,76,POPLATEK MESICNE,930706,2
8027,44,POPLATEK TYDNE,930707,1
3261,1,POPLATEK MESICNE,930707,2
35,75,POPLATEK MESICNE,930707,2
2186,63,POPLATEK MESICNE,930707,3
1566,73,POPLATEK MESICNE,930707,1
78,74,POPLATEK MESICNE,930707,2
3939,70,POPLATEK MESICNE,930708,3
2584,50,POPLATEK MESICNE,930708,1
2336,39,POPLATEK MESICNE,930708,2
2078,62,POPLATEK MESICNE,930708,2
3882,10,POPLATEK MESICNE,930709,2
4159,74,POPLATEK MESICNE,930709,3
907,41,POPLATEK MESICNE,930709,1
1411,54,POPLATEK MESICNE,930709,1
1684,32,POPLATEK TYDNE,930710,3
3748,1,POPLATEK MESICNE,930710,1
2213,68,POPLATEK MESICNE,930711,2
1062,6,POPLATEK MESICNE,930711,2
273,24,POPLATEK PO OBRATU,930711,1
10320,68,POPLATEK MESICNE,930711,1
1416,66,POPLATEK TYDNE,930712,1
3277,36,POPLATEK MESICNE,930712,1
1892,28,POPLATEK MESICNE,930713,1
3413,70,POPLATEK MESICNE,930713,1
3654,47,POPLATEK MESICNE,930713,3
3000,28,POPLATEK MESICNE,930714,2
3955,64,POPLATEK MESICNE,930714,2
1544,69,POPLATEK MESICNE,930714,3
9703,68,POPLATEK MESICNE,930715,1
234,73,POPLATEK MESICNE,930715,1
3241,44,POPLATEK MESICNE,930716,2
3465,1,POPLATEK MESICNE,930716,2
3152,1,POPLATEK MESICNE,930716,3
1497,1,POPLATEK MESICNE,930716,2
3078,1,POPLATEK MESICNE,930716,2
400,28,POPLATEK MESICNE,930717,1
1902,50,POPLATEK TYDNE,930717,1
757,50,POPLATEK MESICNE,930719,2
1116,1,POPLATEK MESICNE,930720,1
5700,42,POPLATEK MESICNE,930720,2
3267,64,POPLATEK MESICNE,930721,3
3222,4,POPLATEK MESICNE,930721,2
408,41,POPLATEK MESICNE,930721,2
2818,40,POPLATEK MESICNE,930721,3
6273,38,POPLATEK MESICNE,930721,2
2513,70,POPLATEK MESICNE,930722,3
3493,63,POPLATEK MESICNE,930722,3
1201,61,POPLATEK MESICNE,930723,2
4478,70,POPLATEK MESICNE,930723,1
2915,57,POPLATEK MESICNE,930723,3
9833,20,POPLATEK MESICNE,930724,1
2253,74,POPLATEK MESICNE,930724,2
1069,70,POPLATEK MESICNE,930724,3
207,2,POPLATEK MESICNE,930725,2
3212,70,POPLATEK MESICNE,930725,3
4035,1,POPLATEK MESICNE,930725,3
1268,74,POPLATEK MESICNE,930725,3
3287,18,POPLATEK MESICNE,930726,3
6226,74,POPLATEK TYDNE,930726,2
2123,64,POPLATEK MESICNE,930726,2
3982,26,POPLATEK MESICNE,930727,1
2701,71,POPLATEK MESICNE,930727,2
3629,48,POPLATEK MESICNE,930727,3
